Name: angerville-1
Location: 48.3201 , 2.0284
Issued: 2020/07/11 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/11 06:00UTC,2.58,356
2020/07/11 09:00UTC,2.77,17
2020/07/11 12:00UTC,3.18,3
2020/07/11 15:00UTC,3.84,3
2020/07/11 18:00UTC,3.56,27
2020/07/11 21:00UTC,3.08,23
2020/07/12 00:00UTC,3.90,33
2020/07/12 03:00UTC,3.46,30
2020/07/12 06:00UTC,4.17,35
2020/07/12 09:00UTC,4.49,41
2020/07/12 12:00UTC,4.19,48
2020/07/12 15:00UTC,4.33,56
2020/07/12 18:00UTC,3.02,64
2020/07/12 21:00UTC,3.54,37
2020/07/13 00:00UTC,3.64,21
2020/07/13 03:00UTC,3.63,19
2020/07/13 06:00UTC,3.73,27
2020/07/13 09:00UTC,3.87,28
2020/07/13 12:00UTC,3.09,40
2020/07/13 15:00UTC,2.48,6
2020/07/13 18:00UTC,3.47,345
2020/07/13 21:00UTC,4.06,1
2020/07/14 00:00UTC,2.64,354
2020/07/14 03:00UTC,2.34,343
2020/07/14 06:00UTC,1.49,341
2020/07/14 09:00UTC,1.23,260
2020/07/14 12:00UTC,3.74,258
2020/07/14 15:00UTC,3.56,271
2020/07/14 18:00UTC,3.39,273
2020/07/14 21:00UTC,3.04,277
2020/07/15 00:00UTC,3.56,288
2020/07/15 03:00UTC,3.49,278
2020/07/15 06:00UTC,3.56,273
2020/07/15 09:00UTC,4.82,259
2020/07/15 12:00UTC,5.30,248
2020/07/15 15:00UTC,6.20,266
2020/07/15 18:00UTC,4.39,269
2020/07/15 21:00UTC,3.20,295
2020/07/16 00:00UTC,2.61,286
2020/07/16 03:00UTC,2.70,280
2020/07/16 06:00UTC,2.96,293
2020/07/16 09:00UTC,3.50,312
2020/07/16 12:00UTC,3.63,295
2020/07/16 15:00UTC,3.76,311
2020/07/16 18:00UTC,2.00,329
2020/07/16 21:00UTC,2.81,331
2020/07/17 00:00UTC,2.97,333
2020/07/17 03:00UTC,2.31,323
2020/07/17 06:00UTC,1.81,304
2020/07/17 09:00UTC,2.23,334
2020/07/17 12:00UTC,3.21,345
2020/07/17 15:00UTC,3.31,353
2020/07/17 18:00UTC,3.16,350
2020/07/17 21:00UTC,3.38,357
2020/07/18 00:00UTC,2.59,6
2020/07/18 03:00UTC,2.35,19
2020/07/18 06:00UTC,2.55,30
2020/07/18 09:00UTC,3.12,56
2020/07/18 12:00UTC,3.79,48
2020/07/18 15:00UTC,4.43,56
2020/07/18 18:00UTC,4.11,59
2020/07/18 21:00UTC,3.28,59
2020/07/19 00:00UTC,3.14,66
2020/07/19 03:00UTC,3.56,64
2020/07/19 06:00UTC,4.34,76
2020/07/19 09:00UTC,4.85,83
2020/07/19 12:00UTC,5.22,83
2020/07/19 15:00UTC,5.04,82
2020/07/19 18:00UTC,3.62,73
2020/07/19 21:00UTC,3.52,63
2020/07/20 00:00UTC,2.71,79
2020/07/20 03:00UTC,2.19,73
2020/07/20 06:00UTC,2.15,76
2020/07/20 09:00UTC,1.90,91
2020/07/20 12:00UTC,1.12,151
2020/07/20 15:00UTC,1.84,243
2020/07/20 18:00UTC,1.21,271
2020/07/20 21:00UTC,0.97,216
2020/07/21 00:00UTC,2.07,124
2020/07/21 03:00UTC,1.44,198
2020/07/21 06:00UTC,0.90,281
